I,I,COUNTESS,"In delivering my son from me, I bury a second husband."
I,I,BERTRAM,"And I in going, madam, weep o'er my father's death"
I,I,BERTRAM,"anew: but I must attend his majesty's command, to"
I,I,BERTRAM,"whom I am now in ward, evermore in subjection."
I,I,LAFEU,"You shall find of the king a husband, madam; you,"
I,I,LAFEU,"sir, a father: he that so generally is at all times"
I,I,LAFEU,"good must of necessity hold his virtue to you; whose"
I,I,LAFEU,"worthiness would stir it up where it wanted rather"
I,I,LAFEU,"than lack it where there is such abundance."
I,I,COUNTESS,"What hope is there of his majesty's amendment?"
I,I,LAFEU,"He hath abandoned his physicians, madam; under whose"
I,I,LAFEU,"practises he hath persecuted time with hope, and"
I,I,LAFEU,"finds no other advantage in the process but only the"
I,I,LAFEU,"losing of hope by time."
I,I,COUNTESS,"This young gentlewoman had a father,--O, that"
I,I,COUNTESS,"'had'! how sad a passage 'tis!--whose skill was"
I,I,COUNTESS,"almost as great as his honesty; had it stretched so"
I,I,COUNTESS,"far, would have made nature immortal, and death"
I,I,COUNTESS,"should have play for lack of work. Would, for the"
I,I,COUNTESS,"king's sake, he were living! I think it would be"
I,I,COUNTESS,"the death of the king's disease."
I,I,LAFEU,"How called you the man you speak of, madam?"
I,I,COUNTESS,"He was famous, sir, in his profession, and it was"
I,I,COUNTESS,"his great right to be so: Gerard de Narbon."
I,I,LAFEU,"He was excellent indeed, madam: the king very"
I,I,LAFEU,"lately spoke of him admiringly and mourningly: he"
I,I,LAFEU,"was skilful enough to have lived still, if knowledge"
I,I,LAFEU,"could be set up against mortality."
I,I,BERTRAM,"What is it, my good lord, the king languishes of?"
I,I,LAFEU,"A fistula, my lord."
I,I,BERTRAM,"I heard not of it before."
I,I,LAFEU,"I would it were not notorious. Was this gentlewoman"
I,I,LAFEU,"the daughter of Gerard de Narbon?"
I,I,COUNTESS,"His sole child, my lord, and bequeathed to my"
I,I,COUNTESS,"overlooking. I have those hopes of her good that"
I,I,COUNTESS,"her education promises; her dispositions she"
I,I,COUNTESS,"inherits, which makes fair gifts fairer; for where"
