I,I,DUKE ORSINO,"If music be the food of love, play on;"
I,I,DUKE ORSINO,"Give me excess of it, that, surfeiting,"
I,I,DUKE ORSINO,"The appetite may sicken, and so die."
I,I,DUKE ORSINO,"That strain again! it had a dying fall:"
I,I,DUKE ORSINO,"O, it came o'er my ear like the sweet sound,"
I,I,DUKE ORSINO,"That breathes upon a bank of violets,"
I,I,DUKE ORSINO,"Stealing and giving odour! Enough; no more:"
I,I,DUKE ORSINO,"'Tis not so sweet now as it was before."
I,I,DUKE ORSINO,"O spirit of love! how quick and fresh art thou,"
I,I,DUKE ORSINO,"That, notwithstanding thy capacity"
I,I,DUKE ORSINO,"Receiveth as the sea, nought enters there,"
I,I,DUKE ORSINO,"Of what validity and pitch soe'er,"
I,I,DUKE ORSINO,"But falls into abatement and low price,"
I,I,DUKE ORSINO,"Even in a minute: so full of shapes is fancy"
I,I,DUKE ORSINO,"That it alone is high fantastical."
I,I,CURIO,"Will you go hunt, my lord?"
I,I,DUKE ORSINO,"What, Curio?"
I,I,CURIO,"The hart."
I,I,DUKE ORSINO,"Why, so I do, the noblest that I have:"
I,I,DUKE ORSINO,"O, when mine eyes did see Olivia first,"
I,I,DUKE ORSINO,"Methought she purged the air of pestilence!"
I,I,DUKE ORSINO,"That instant was I turn'd into a hart;"
I,I,DUKE ORSINO,"And my desires, like fell and cruel hounds,"
I,I,DUKE ORSINO,"E'er since pursue me."
I,I,DUKE ORSINO,"How now! what news from her?"
I,I,VALENTINE,"So please my lord, I might not be admitted;"
I,I,VALENTINE,"But from her handmaid do return this answer:"
I,I,VALENTINE,"The element itself, till seven years' heat,"
I,I,VALENTINE,"Shall not behold her face at ample view;"
I,I,VALENTINE,"But, like a cloistress, she will veiled walk"
I,I,VALENTINE,"And water once a day her chamber round"
I,I,VALENTINE,"With eye-offending brine: all this to season"
I,I,VALENTINE,"A brother's dead love, which she would keep fresh"
I,I,VALENTINE,"And lasting in her sad remembrance."
I,I,DUKE ORSINO,"O, she that hath a heart of that fine frame"
I,I,DUKE ORSINO,"To pay this debt of love but to a brother,"
I,I,DUKE ORSINO,"How will she love, when the rich golden shaft"
I,I,DUKE ORSINO,"Hath kill'd the flock of all affections else"
I,I,DUKE ORSINO,"That live in her; when liver, brain and heart,"
I,I,DUKE ORSINO,"These sovereign thrones, are all supplied, and fill'd"
I,I,DUKE ORSINO,"Her sweet perfections with one self king!"
I,I,DUKE ORSINO,"Away before me to sweet beds of flowers:"
I,I,DUKE ORSINO,"Love-thoughts lie rich when canopied with bowers."
I,II,VIOLA,"What country, friends, is this?"
I,II,Captain,"This is Illyria, lady."
I,II,VIOLA,"And what should I do in Illyria?"
I,II,VIOLA,"My brother he is in Elysium."
I,II,VIOLA,"Perchance he is not drown'd: what think you, sailors?"
I,II,Captain,"It is perchance that you yourself were saved."
I,II,VIOLA,"O my poor brother! and so perchance may he be."
I,II,Captain,"True, madam: and, to comfort you with chance,"
I,II,Captain,"Assure yourself, after our ship did split,"
I,II,Captain,"When you and those poor number saved with you"
I,II,Captain,"Hung on our driving boat, I saw your brother,"
I,II,Captain,"Most provident in peril, bind himself,"
I,II,Captain,"Courage and hope both teaching him the practise,"
I,II,Captain,"To a strong mast that lived upon the sea;"
I,II,Captain,"Where, like Arion on the dolphin's back,"
I,II,Captain,"I saw him hold acquaintance with the waves"
I,II,Captain,"So long as I could see."
I,II,VIOLA,"For saying so, there's gold:"
